date,QQQ_close,vix,dxy_proxy,tips_proxy,credit_proxy,gold_close,hard_regime,divergence_phase,risk_score,proposed_risk,recovery_active,dxy_roc_20d,tips_roc_20d
2023-01-02,280.0,18.0,103.0,1.5,380.0,1820.0,RISK_ON,NONE,0.7,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-03,281.16,17.88,103.32,1.5074,375.67,1804.14,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-04,281.74,17.84,103.32,1.5012,377.76,1814.68,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-05,282.1,17.96,103.53,1.4951,378.71,1803.23,TIGHT_LIQUIDITY,EARLY,0.3,0.8,True,0.006796116504854455,0.006933333333333236
2023-01-06,285.21,17.95,103.46,1.4903,381.6,1802.0,TIGHT_LIQUIDITY,EARLY,0.3,0.8,True,0.006796116504854455,0.006933333333333236
2023-01-09,283.89,17.9,103.69,1.4933,382.66,1808.15,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-10,291.33,17.86,103.49,1.4875,384.19,1823.17,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-11,291.08,17.76,103.16,1.4927,386.02,1830.83,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-12,288.9,17.78,103.22,1.4946,388.15,1834.43,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-13,291.4,17.78,103.35,1.4996,384.88,1831.05,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-16,289.9,17.71,103.24,1.5111,382.99,1844.2,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-17,284.19,17.67,103.32,1.5159,384.74,1855.18,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-18,283.14,17.61,103.69,1.5147,381.91,1841.2,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-19,280.16,17.66,103.75,1.5202,381.05,1843.98,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-20,282.4,17.62,103.95,1.5155,380.33,1839.79,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-23,278.49,17.67,103.77,1.5159,381.54,1846.28,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-24,280.85,17.65,103.6,1.5156,377.79,1828.31,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-25,276.53,17.54,103.78,1.509,377.05,1845.67,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-26,275.49,17.61,103.4,1.5078,375.01,1842.03,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-27,278.41,17.43,103.59,1.5099,373.79,1824.12,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-30,278.79,17.37,103.7,1.5104,377.49,1821.8,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.006796116504854455,0.006933333333333236
2023-01-31,275.5,17.38,103.8,1.5209,379.5,1827.08,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.004645760743321681,0.008955817964707347
2023-02-01,280.48,17.25,103.55,1.5142,378.72,1810.2,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,0.002226093689508435,0.008659738875566036
2023-02-02,282.76,17.22,102.95,1.5068,379.55,1821.54,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.0056022408963585235,0.007825563507457556
2023-02-03,289.67,17.52,103.13,1.4996,374.81,1825.69,TIGHT_LIQUIDITY,EARLY,0.3,0.8,True,-0.0031896385076357614,0.006240354291082495
2023-02-06,286.99,17.47,102.89,1.4989,377.32,1828.42,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.007715305236763448,0.0037500837072255155
2023-02-07,286.59,17.35,102.21,1.4955,377.31,1851.78,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.012368344767610395,0.005378151260504227
2023-02-08,287.18,17.45,102.01,1.487,375.24,1843.12,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.011147731678945227,-0.0038185837743685003
2023-02-09,294.66,17.36,102.37,1.4806,377.45,1848.83,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.008234838209649209,-0.0093670547303627
2023-02-10,294.25,17.35,102.11,1.4842,376.53,1833.7,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.011998064828253496,-0.010269405174713309
2023-02-13,289.89,17.36,102.76,1.4857,376.38,1838.11,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.0046493607129018955,-0.01680894712461123
2023-02-14,294.57,17.38,102.6,1.4942,377.46,1858.6,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.006968641114982521,-0.014314928425357865
2023-02-15,295.37,17.25,102.05,1.5068,381.47,1857.01,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.015816375735364985,-0.005215554235162068
2023-02-16,294.16,17.39,101.61,1.5004,383.06,1852.62,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.020626506024096436,-0.01302460202604927
2023-02-17,294.29,17.37,101.76,1.5112,383.38,1861.72,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.021067821067821013,-0.0028373474100956697
2023-02-20,287.2,17.36,101.43,1.5023,381.48,1858.11,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.02254986990459662,-0.00897156804538557
2023-02-21,290.5,17.22,101.45,1.499,380.84,1871.89,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.020752895752895628,-0.010952757983636818
2023-02-22,292.52,17.35,101.4,1.4941,380.45,1875.82,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.022933127770283224,-0.00987408880053009
2023-02-23,293.28,17.23,101.44,1.4961,386.31,1901.21,TIGHT_LIQUIDITY,EARLY,0.3,0.8,True,-0.018955512572533917,-0.007759649820931136
2023-02-24,290.43,17.2,100.86,1.4919,387.16,1918.02,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.02635389516362585,-0.011921319292668375
2023-02-27,288.03,17.13,100.0,1.491,384.8,1911.68,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.03567984570877536,-0.012844279661016866
2023-02-28,285.14,17.11,99.31,1.4804,389.83,1895.22,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.04325626204238919,-0.02662896968899997
2023-03-01,281.53,17.29,100.47,1.472,389.09,1900.51,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.029744084983099883,-0.027869502047285666
2023-03-02,287.51,17.19,100.39,1.478,390.22,1896.26,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.02486644001942695,-0.019113352800637085
2023-03-03,287.2,17.04,100.3,1.4764,390.88,1889.65,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.027441093765150804,-0.015470792211256357
2023-03-06,288.96,17.14,100.37,1.4792,391.12,1890.41,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.024492176110409103,-0.01314297151244237
2023-03-07,286.61,17.17,100.34,1.495,394.93,1896.27,TIGHT_LIQUIDITY,EARLY,0.3,0.8,False,-0.018295665786126514,-0.0003343363423603529
